0.137	0.801	180.707	88.804
0.138	0.801	180.713	88.818
0.139	0.804	180.757	88.826
0.14	0.804	180.76	88.867
0.141	0.807	180.77	88.895
0.142	0.807	180.815	88.942
0.143	0.807	180.827	88.951
0.144	0.808	180.827	88.96
0.145	0.808	180.848	88.981
0.146	0.809	180.876	89.005
0.147	0.815	180.931	89.02
0.148	0.818	180.932	89.104
0.149	0.819	181.016	89.118
0.15	0.82	181.029	89.135
0.151	0.82	181.036	89.18
0.152	0.822	181.112	89.182
0.153	0.823	181.12	89.248
0.154	0.828	181.122	89.268
0.155	0.828	181.146	89.272
0.156	0.828	181.163	89.318
0.157	0.828	181.21	89.32
0.158	0.829	181.22	89.352
0.159	0.83	181.323	89.369
0.16	0.83	181.397	89.375
0.161	0.832	181.397	89.382
0.162	0.833	181.426	89.387
0.163	0.833	181.447	89.398
0.164	0.835	181.517	89.468
0.165	0.836	181.649	89.487
0.166	0.836	181.667	89.488
0.167	0.838	181.689	89.504
0.168	0.841	181.805	89.506
0.169	0.841	181.824	89.523
0.17	0.841	181.873	89.56
0.171	0.842	181.91	89.629
0.172	0.842	181.947	89.633
0.173	0.843	181.952	89.692
0.174	0.849	181.985	89.725
0.175	0.849	182.04	89.726
