"Round 139"                      "Time (ms)"
"forwarding graph"       9.922
"disjoint edge"            8.578
"loop free"                     4.099
"blackhole"                0.805


"Round 140"                      "Time (ms)"
"forwarding graph"       9.916
"disjoint edge"            4.146
"loop free"                     2.646
"blackhole"                0.45


"Round 141"                      "Time (ms)"
"forwarding graph"       8.547
"disjoint edge"            2.343
"loop free"                     1.797
"blackhole"                0.338


"Round 142"                      "Time (ms)"
"forwarding graph"       9.692
"disjoint edge"            5.662
"loop free"                     4.474
"blackhole"                0.629


"Round 143"                      "Time (ms)"
"forwarding graph"       10.265
"disjoint edge"            5.166
"loop free"                     4.116
"blackhole"                0.571


"Round 144"                      "Time (ms)"
"forwarding graph"       2.145
"disjoint edge"            3.198
"loop free"                     2.243
"blackhole"                0.382


"Round 145"                      "Time (ms)"
"forwarding graph"       10.214
"disjoint edge"            4.464
"loop free"                     2.815
"blackhole"                0.432


"Round 146"                      "Time (ms)"
"forwarding graph"       9.301
"disjoint edge"            4.086
"loop free"                     2.575
"blackhole"                0.444


"Round 147"                      "Time (ms)"
"forwarding graph"       9.735
"disjoint edge"            4.351
"loop free"                     2.668
"blackhole"                0.434


"Round 148"                      "Time (ms)"
"forwarding graph"       9.937
"disjoint edge"            3.987
"loop free"                     2.764
"blackhole"                0.432


"Round 149"                      "Time (ms)"
"forwarding graph"       10.574
"disjoint edge"            4.418
"loop free"                     2.717
"blackhole"                0.407


"Round 150"                      "Time (ms)"
"forwarding graph"       3.082
"disjoint edge"            6.316
"loop free"                     3.582
"blackhole"                0.787


"Round 151"                      "Time (ms)"
"forwarding graph"       9.904
"disjoint edge"            3.62
"loop free"                     2.651
"blackhole"                0.37


"Round 152"                      "Time (ms)"
"forwarding graph"       9.975
"disjoint edge"            3.7
"loop free"                     2.654
"blackhole"                0.371


"Round 153"                      "Time (ms)"
"forwarding graph"       9.896
"disjoint edge"            3.806
"loop free"                     2.74
"blackhole"                0.418


"Round 154"                      "Time (ms)"
"forwarding graph"       10.203
"disjoint edge"            4.407
"loop free"                     2.749
"blackhole"                0.425


"Round 155"                      "Time (ms)"
"forwarding graph"       8.505
"disjoint edge"            2.536
"loop free"                     1.714
"blackhole"                0.337


"Round 156"                      "Time (ms)"
"forwarding graph"       10.392
"disjoint edge"            4.547
"loop free"                     2.769
"blackhole"                0.592


"Round 157"                      "Time (ms)"
"forwarding graph"       9.866
"disjoint edge"            3.739
"loop free"                     2.587
"blackhole"                0.351


"Round 158"                      "Time (ms)"
"forwarding graph"       9.908
"disjoint edge"            3.77
"loop free"                     2.917
"blackhole"                0.427


"Round 159"                      "Time (ms)"
"forwarding graph"       9.402
"disjoint edge"            3.672
"loop free"                     2.473
"blackhole"                0.403


"Round 160"                      "Time (ms)"
"forwarding graph"       10.055
"disjoint edge"            2.815
"loop free"                     3.736
"blackhole"                0.457


"Round 161"                      "Time (ms)"
"forwarding graph"       10.074
"disjoint edge"            3.756
"loop free"                     2.594
"blackhole"                0.492


"Round 162"                      "Time (ms)"
"forwarding graph"       2.648
"disjoint edge"            3.938
"loop free"                     2.595
"blackhole"                0.403


"Round 163"                      "Time (ms)"
"forwarding graph"       8.51
"disjoint edge"            2.172
"loop free"                     1.712
"blackhole"                0.34


"Round 164"                      "Time (ms)"
"forwarding graph"       22.447
"disjoint edge"            3.581
"loop free"                     2.581
"blackhole"                0.401


"Round 165"                      "Time (ms)"
"forwarding graph"       9.918
"disjoint edge"            3.839
"loop free"                     2.701
"blackhole"                0.43


"Round 166"                      "Time (ms)"
"forwarding graph"       10.086
"disjoint edge"            4.392
"loop free"                     2.824
"blackhole"                0.436


"Round 167"                      "Time (ms)"
"forwarding graph"       10.166
"disjoint edge"            1.95
"loop free"                     2.687
"blackhole"                0.403


"Round 168"                      "Time (ms)"
"forwarding graph"       10.155
"disjoint edge"            4.093
"loop free"                     2.758
"blackhole"                0.399


"Round 169"                      "Time (ms)"
"forwarding graph"       9.843
"disjoint edge"            3.279
"loop free"                     2.372
"blackhole"                0.398


"Round 170"                      "Time (ms)"
"forwarding graph"       10.269
"disjoint edge"            4.195
"loop free"                     2.787
"blackhole"                0.431


"Round 171"                      "Time (ms)"
"forwarding graph"       9.94
"disjoint edge"            3.311
"loop free"                     2.818
"blackhole"                0.522


"Round 172"                      "Time (ms)"
"forwarding graph"       9.41
"disjoint edge"            3.546
"loop free"                     2.782
"blackhole"                0.434


"Round 173"                      "Time (ms)"
"forwarding graph"       9.411
"disjoint edge"            5.695
"loop free"                     4.34
"blackhole"                0.641


"Round 174"                      "Time (ms)"
"forwarding graph"       10.702
"disjoint edge"            5.594
"loop free"                     4.06
"blackhole"                0.65


"Round 175"                      "Time (ms)"
"forwarding graph"       9.93
"disjoint edge"            2.749
"loop free"                     2.72
"blackhole"                0.431


"Round 176"                      "Time (ms)"
"forwarding graph"       10.523
"disjoint edge"            3.823
"loop free"                     2.69
"blackhole"                0.409


"Round 177"                      "Time (ms)"
"forwarding graph"       9.712
"disjoint edge"            4.089
"loop free"                     2.656
"blackhole"                0.413


"Round 178"                      "Time (ms)"
"forwarding graph"       9.94
"disjoint edge"            3.287
"loop free"                     5.484
"blackhole"                0.581


"Round 179"                      "Time (ms)"
"forwarding graph"       10.138
"disjoint edge"            4.213
"loop free"                     2.426
"blackhole"                0.343


"Round 180"                      "Time (ms)"
"forwarding graph"       9.502
"disjoint edge"            3.595
"loop free"                     2.557
"blackhole"                0.392


"Round 181"                      "Time (ms)"
"forwarding graph"       10.126
"disjoint edge"            4.339
"loop free"                     2.57
"blackhole"                0.36


"Round 182"                      "Time (ms)"
"forwarding graph"       10.816
"disjoint edge"            4.535
"loop free"                     2.821
"blackhole"                0.44


"Round 183"                      "Time (ms)"
"forwarding graph"       10.538
"disjoint edge"            4.412
"loop free"                     2.787
"blackhole"                0.43


"Round 184"                      "Time (ms)"
"forwarding graph"       9.202
"disjoint edge"            3.466
"loop free"                     2.433
"blackhole"                0.428


"Round 185"                      "Time (ms)"
"forwarding graph"       1.666
"disjoint edge"            11.169
"loop free"                     2.793
"blackhole"                0.395


"Round 186"                      "Time (ms)"
"forwarding graph"       10.486
"disjoint edge"            4.216
"loop free"                     2.766
"blackhole"                0.439


"Round 187"                      "Time (ms)"
"forwarding graph"       2.604
"disjoint edge"            3.131
"loop free"                     2.555
"blackhole"                0.453


"Round 188"                      "Time (ms)"
"forwarding graph"       9.8
"disjoint edge"            3.622
"loop free"                     2.809
"blackhole"                0.382


"Round 189"                      "Time (ms)"
"forwarding graph"       9.939
"disjoint edge"            3.509
"loop free"                     2.699
"blackhole"                0.425


"Round 190"                      "Time (ms)"
"forwarding graph"       9.71
"disjoint edge"            2.9
"loop free"                     2.619
"blackhole"                0.435


"Round 191"                      "Time (ms)"
"forwarding graph"       10.426
"disjoint edge"            4.328
"loop free"                     2.847
"blackhole"                0.407


"Round 192"                      "Time (ms)"
"forwarding graph"       1.834
"disjoint edge"            11.746
"loop free"                     2.391
"blackhole"                0.416


"Round 193"                      "Time (ms)"
"forwarding graph"       9.598
"disjoint edge"            3.37
"loop free"                     2.691
"blackhole"                0.409


"Round 194"                      "Time (ms)"
"forwarding graph"       9.904
"disjoint edge"            4.351
"loop free"                     2.784
"blackhole"                0.426


"Round 195"                      "Time (ms)"
"forwarding graph"       9.651
"disjoint edge"            3.832
"loop free"                     2.564
"blackhole"                0.387


"Round 196"                      "Time (ms)"
"forwarding graph"       10.591
"disjoint edge"            4.8
"loop free"                     3.275
"blackhole"                0.552


"Round 197"                      "Time (ms)"
"forwarding graph"       9.992
"disjoint edge"            4.346
"loop free"                     2.781
"blackhole"                0.425


"Round 198"                      "Time (ms)"
"forwarding graph"       10.09
"disjoint edge"            4.567
"loop free"                     2.751
"blackhole"                0.436


"Round 199"                      "Time (ms)"
"forwarding graph"       9.966
"disjoint edge"            2.64
"loop free"                     2.605
"blackhole"                0.41


