"blackhole"                0.309


"Round 164"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.608
"loop free"                     1.178
"blackhole"                0.32


"Round 165"                      "Time (ms)"
"forwarding graph"       0.661
"disjoint edge"            3.314
"loop free"                     1.886
"blackhole"                0.567


"Round 166"                      "Time (ms)"
"forwarding graph"       0.657
"disjoint edge"            1.627
"loop free"                     1.385
"blackhole"                0.567


"Round 167"                      "Time (ms)"
"forwarding graph"       0.768
"disjoint edge"            1.643
"loop free"                     1.127
"blackhole"                0.329


"Round 168"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.572
"loop free"                     1.269
"blackhole"                0.383


"Round 169"                      "Time (ms)"
"forwarding graph"       0.736
"disjoint edge"            2.262
"loop free"                     1.713
"blackhole"                0.423


"Round 170"                      "Time (ms)"
"forwarding graph"       1.499
"disjoint edge"            4.838
"loop free"                     2.569
"blackhole"                0.612


"Round 171"                      "Time (ms)"
"forwarding graph"       0.927
"disjoint edge"            2.243
"loop free"                     6.392
"blackhole"                2.058


"Round 172"                      "Time (ms)"
"forwarding graph"       1.048
"disjoint edge"            2.683
"loop free"                     2.068
"blackhole"                0.494


"Round 173"                      "Time (ms)"
"forwarding graph"       0.854
"disjoint edge"            2.834
"loop free"                     1.222
"blackhole"                0.327


"Round 174"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.633
"loop free"                     1.174
"blackhole"                0.319


"Round 175"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.611
"loop free"                     1.553
"blackhole"                0.624


"Round 176"                      "Time (ms)"
"forwarding graph"       0.749
"disjoint edge"            1.636
"loop free"                     1.171
"blackhole"                0.297


"Round 177"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.721
"loop free"                     1.241
"blackhole"                0.327


"Round 178"                      "Time (ms)"
"forwarding graph"       0.657
"disjoint edge"            1.641
"loop free"                     1.231
"blackhole"                0.443


"Round 179"                      "Time (ms)"
"forwarding graph"       0.678
"disjoint edge"            1.581
"loop free"                     1.133
"blackhole"                0.325


"Round 180"                      "Time (ms)"
"forwarding graph"       0.656
"disjoint edge"            1.767
"loop free"                     1.226
"blackhole"                0.342


"Round 181"                      "Time (ms)"
"forwarding graph"       0.713
"disjoint edge"            1.782
"loop free"                     1.186
"blackhole"                0.313


"Round 182"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            1.592
"loop free"                     1.214
"blackhole"                0.321


"Round 183"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.754
"loop free"                     1.379
"blackhole"                0.538


"Round 184"                      "Time (ms)"
"forwarding graph"       0.931
"disjoint edge"            1.969
"loop free"                     1.24
"blackhole"                0.365


"Round 185"                      "Time (ms)"
"forwarding graph"       0.709
"disjoint edge"            1.641
"loop free"                     1.189
"blackhole"                0.291


"Round 186"                      "Time (ms)"
"forwarding graph"       0.649
"disjoint edge"            1.6
"loop free"                     1.16
"blackhole"                0.313


"Round 187"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            1.658
"loop free"                     1.173
"blackhole"                0.301


"Round 188"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            3.479
"loop free"                     1.542
"blackhole"                0.317


"Round 189"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.725
"loop free"                     1.194
"blackhole"                0.387


"Round 190"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            2.008
"loop free"                     1.35
"blackhole"                0.468


"Round 191"                      "Time (ms)"
"forwarding graph"       0.85
"disjoint edge"            2.28
"loop free"                     1.226
"blackhole"                0.365


"Round 192"                      "Time (ms)"
"forwarding graph"       0.649
"disjoint edge"            1.758
"loop free"                     1.193
"blackhole"                0.308


"Round 193"                      "Time (ms)"
"forwarding graph"       0.663
"disjoint edge"            1.769
"loop free"                     1.449
"blackhole"                0.743


"Round 194"                      "Time (ms)"
"forwarding graph"       0.715
"disjoint edge"            1.773
"loop free"                     1.184
"blackhole"                0.31


"Round 195"                      "Time (ms)"
"forwarding graph"       0.652
"disjoint edge"            1.616
"loop free"                     1.413
"blackhole"                0.374


"Round 196"                      "Time (ms)"
"forwarding graph"       0.649
"disjoint edge"            1.683
"loop free"                     1.288
"blackhole"                0.376


"Round 197"                      "Time (ms)"
"forwarding graph"       0.681
"disjoint edge"            1.596
"loop free"                     1.099
"blackhole"                0.301


"Round 198"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            1.85
"loop free"                     1.174
"blackhole"                0.31


"Round 199"                      "Time (ms)"
"forwarding graph"       0.644
"disjoint edge"            1.823
"loop free"                     1.936
"blackhole"                0.457


"Round 200"                      "Time (ms)"
"forwarding graph"       0.793
"disjoint edge"            1.84
"loop free"                     1.288
"blackhole"                0.323


"Round 201"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.947
"loop free"                     1.665
"blackhole"                0.484


"Round 202"                      "Time (ms)"
"forwarding graph"       0.838
"disjoint edge"            1.776
"loop free"                     1.167
"blackhole"                0.339


"Round 203"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            1.771
"loop free"                     1.23
"blackhole"                0.312


"Round 204"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            1.614
"loop free"                     1.153
"blackhole"                0.311


"Round 205"                      "Time (ms)"
"forwarding graph"       0.702
"disjoint edge"            1.752
"loop free"                     2.256
"blackhole"                0.547


"Round 206"                      "Time (ms)"
"forwarding graph"       1.924
"disjoint edge"            4.783
"loop free"                     1.187
"blackhole"                0.32


"Round 207"                      "Time (ms)"
"forwarding graph"       0.652
"disjoint edge"            2.195
"loop free"                     1.447
"blackhole"                0.558


"Round 208"                      "Time (ms)"
"forwarding graph"       0.909
"disjoint edge"            1.909
"loop free"                     1.196
